Age,Candidate,Criminal_Case,District,Education,Liabilities,Party,State,Total_Assets,Winner,Year
66,Indra Deo Yadava,0,GORAKHPUR,12th Pass,Rs 0,Bhartiya Shakti Chetna Party,UTTAR PRADESH,"Rs 76,45,000",No,2014
55,Om Prakash,0,GONDA,Post Graduate,Rs 0,CPI,UTTAR PRADESH,"Rs 12,11,746",No,2014
25,Prem Kumar,0,GONDA,10th Pass,Rs 0,Most Backward Classes Of India,UTTAR PRADESH,"Rs 2,57,962",No,2014
34,Rajendra Prasad,0,GONDA,Literate,"Rs 40,000",Samyak Parivartan Party,UTTAR PRADESH,"Rs 26,27,510",No,2014
46,Rajesh Kumar Maurya,0,GONDA,12th Pass,Rs 0,Socialist Party (India),UTTAR PRADESH,"Rs 2,15,318",No,2014
50,Harinath,0,GHOSI,Graduate,Rs 0,Naitik Party,UTTAR PRADESH,"Rs 19,30,000",No,2014
67,Harish Chandra,0,GHOSI,Post Graduate,Rs 0,Rashtriya Janwadi Party (Krantikari),UTTAR PRADESH,"Rs 8,79,79,107",No,2014
40,Hemant Kumar,0,GHOSI,10th Pass,Rs 0,Bhartiya Sarvjan Party,UTTAR PRADESH,"Rs 6,51,000",No,2014
31,Mohd. Waseem Khan,0,GORAKHPUR,12th Pass,Rs 0,Bahujan Mukti Party,UTTAR PRADESH,"Rs 10,51,275",No,2014
45,Munna,0,GORAKHPUR,Graduate,Rs 0,Swarajya Party Of India,UTTAR PRADESH,"Rs 5,31,088",No,2014
77,Radhe Mohan Misra,0,GORAKHPUR,Doctorate,Rs 0,AAP,UTTAR PRADESH,"Rs 1,45,08,023",No,2014
44,Satya Prakash, 2 ,GONDA,Graduate,"Rs 1,20,000",SHS,UTTAR PRADESH,"Rs 11,56,600",No,2014
38,Tilak Ram,0,GONDA,10th Pass,"Rs 26,500",IND,UTTAR PRADESH,"Rs 4,43,788",No,2014
38,Manish Kumar Rai,0,GHOSI,Post Graduate,"Rs 50,000",AAP,UTTAR PRADESH,"Rs 42,27,325",No,2014
54,Mukhtar Ansari, 15 ,GHOSI,Graduate,"Rs 8,01,74,200",Qaumi Ekta Dal,UTTAR PRADESH,"Rs 18,62,02,878",No,2014
45,Rajeev Kumar Rai,0,GHOSI,Others,"Rs 1,28,97,739",SP,UTTAR PRADESH,"Rs 16,55,37,359",No,2014
45,Rajkumar Chauhan, 2 ,GHOSI,12th Pass,Rs 0,Janvadi Party(Socialist),UTTAR PRADESH,"Rs 7,33,442",No,2014
47,Rashtra Kunwar Singh, 2 ,GHOSI,Graduate,"Rs 8,00,000",INC,UTTAR PRADESH,"Rs 1,11,09,907",No,2014
49,Rajesh,0,GORAKHPUR,Post Graduate,Rs 0,CPI(ML)L,UTTAR PRADESH,"Rs 43,729",No,2014
49,Rajit Mishra,0,GORAKHPUR,Post Graduate,Rs 0,Naitik Party,UTTAR PRADESH,"Rs 3,78,660",No,2014
56,Rajmati Nishad,0,GORAKHPUR,Literate,"Rs 11,17,800",SP,UTTAR PRADESH,"Rs 1,37,99,549",No,2014
53,Ram Bhual Nishad, 7 ,GORAKHPUR,Graduate,Rs 0,BSP,UTTAR PRADESH,"Rs 1,79,89,246",No,2014
47,Ramkishun,0,GORAKHPUR,Literate,Rs 0,IND,UTTAR PRADESH,"Rs 16,30,391",No,2014
35,Subash Kumar Maurya,0,GORAKHPUR,10th Pass,Rs 0,Rashtriya Janwadi Party (Krantikari),UTTAR PRADESH,"Rs 1,32,160",No,2014
32,Ravi Shankar Bharat,0,GHOSI,Post Graduate,Rs 0,Jan Raajya Party,UTTAR PRADESH,"Rs 1,40,000",No,2014
27,Surya Kumar,0,GHOSI,10th Pass,"Rs 9,00,000",IND,UTTAR PRADESH,"Rs 22,91,000",No,2014
31,Vijay Kumar Upadhyay,0,GHOSI,10th Pass,Rs 0,Rashtriya Krantikari Samajwadi Party,UTTAR PRADESH,"Rs 2,66,472",No,2014
63,Vishun Dayal,0,GHOSI,Graduate,Rs 0,IND,UTTAR PRADESH,"Rs 46,99,000",No,2014
55,Manoj Sinha,0,GHAZIPUR,Graduate Professional,"Rs 1,18,700",BJP,UTTAR PRADESH,"Rs 2,33,76,901",Yes,2014
53,Arun Kumar Singh, 8 ,GHAZIPUR,Post Graduate,Rs 0,IND,UTTAR PRADESH,"Rs 1,51,28,298",No,2014
